,time_slot,day_of_week,T,RH,AH,PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),true_label,given_label,true_error
66,morning,saturday,18.4,33.8,0.709,1117.0,875.0,1679.0,1387.0,1.0235418011737087,1.5566909691126949,0
67,afternoon,saturday,19.4,31.3,0.695,1059.0,987.0,1600.0,1101.0,0.4666216146305448,0.9942286904477916,0
68,afternoon,saturday,18.0,34.8,0.7127,924.0,1088.0,1488.0,850.0,-0.0902985719126186,0.4409121398912606,0
69,afternoon,saturday,18.4,33.6,0.7042,947.0,1049.0,1532.0,947.0,-0.0902985719126186,0.5918166536794055,0
70,afternoon,saturday,17.6,35.1,0.7012,987.0,1004.0,1554.0,1078.0,0.2577765446768585,0.8936256812556951,0
71,afternoon,saturday,16.7,37.8,0.7117,1000.0,976.0,1602.0,1084.0,0.1185464980410675,0.9850829623394192,0
72,evening,saturday,16.1,41.0,0.7451,1163.0,831.0,1779.0,1395.0,0.7450817079021269,1.6572939783047915,0
73,evening,saturday,15.8,42.4,0.7569,1286.0,758.0,1922.0,1612.0,1.4412319410810814,2.279203489674116,0
74,evening,saturday,15.7,44.1,0.7786,1274.0,754.0,1915.0,1697.0,1.4412319410810814,2.288349217782488,0
75,evening,saturday,15.3,46.8,0.8091,1247.0,762.0,1860.0,1886.0,1.4412319410810814,2.33407785832435,0
76,night,saturday,14.6,48.6,0.806,1089.0,844.0,1748.0,1624.0,0.6754666845842314,1.5246809207333916,0
77,night,saturday,14.7,49.3,0.8193,1010.0,892.0,1603.0,1536.0,0.3273915679947541,1.40578645532455,1
78,night,sunday,13.9,53.6,0.8498,1013.0,889.0,1611.0,1535.0,0.5362366379484403,1.93623868561015,1
79,night,sunday,14.6,51.5,0.8536,1045.0,880.0,1624.0,1530.0,0.4666216146305448,1.7075954829008395,1
80,night,sunday,12.5,58.9,0.8537,925.0,953.0,1543.0,1337.0,0.2577765446768585,1.1725703885610537,0
81,night,sunday,11.6,63.4,0.8674,968.0,921.0,1620.0,1278.0,0.188161521358963,1.0673945153147708,0
83,morning,sunday,11.5,63.1,0.8533,691.0,1272.0,1377.0,929.0,-0.6472187584557824,-0.2221531479657391,0
84,morning,sunday,11.6,62.2,0.8473,618.0,1395.0,1333.0,872.0,-0.7864488050915732,-0.1581330512071322,0
85,morning,sunday,10.4,67.6,0.853,615.0,1384.0,1340.0,853.0,-0.8560638284094687,-0.3776305258080701,0
86,morning,sunday,11.6,62.7,0.853,722.0,1225.0,1414.0,959.0,-0.5079887118199915,0.2031232090735779,0
87,morning,sunday,12.4,60.0,0.8627,828.0,1055.0,1527.0,1093.0,-0.3687586651842005,0.5689523334084744,0
88,morning,sunday,14.5,53.1,0.8728,923.0,952.0,1614.0,1225.0,0.0489314747231723,1.0125201466645364,0
89,morning,sunday,16.9,46.1,0.8789,1009.0,878.0,1696.0,1355.0,0.4666216146305448,1.5292537847875776,1
90,morning,sunday,19.3,38.3,0.8474,1002.0,907.0,1677.0,1262.0,0.4666216146305448,1.3966407272161776,0
91,afternoon,sunday,21.2,31.4,0.7812,880.0,1084.0,1525.0,980.0,-0.0902985719126186,0.7793040799010399,0
92,afternoon,sunday,21.4,30.2,0.7616,879.0,1104.0,1490.0,872.0,-0.2295286185484095,0.4409121398912606,0
93,afternoon,sunday,21.9,29.0,0.7525,906.0,1081.0,1511.0,900.0,-0.1599135952305142,0.6741282066547571,0
94,afternoon,sunday,22.2,28.4,0.7516,1045.0,974.0,1646.0,1099.0,0.6058516612663358,1.5887010174919984,0
95,afternoon,sunday,21.3,30.8,0.7696,1051.0,943.0,1668.0,1206.0,0.5362366379484403,1.4972437364082742,0
96,evening,sunday,19.7,36.7,0.8307,1055.0,929.0,1671.0,1262.0,0.2577765446768585,1.6801582985757224,1
97,evening,sunday,18.4,41.7,0.8732,1312.0,753.0,1993.0,1698.0,1.719692034352663,3.1892034364571704,1
98,evening,sunday,17.6,46.1,0.921,1381.0,681.0,2103.0,1905.0,2.6246873374853044,3.600761201333929,0
99,evening,sunday,16.7,49.6,0.932,1140.0,784.0,1818.0,1648.0,0.8843117545379177,2.055133151018991,1
100,night,sunday,16.3,51.0,0.9341,940.0,924.0,1587.0,1423.0,-0.0206835485947231,0.9759372342310468,0
101,night,sunday,14.7,55.9,0.9314,933.0,933.0,1617.0,1349.0,0.0489314747231723,1.090258835585702,1
102,night,monday,14.8,54.7,0.9164,872.0,985.0,1547.0,1250.0,-0.2295286185484095,0.5872437896252193,0
103,night,monday,14.0,57.0,0.9094,853.0,1010.0,1543.0,1174.0,-0.2295286185484095,0.5872437896252193,0
104,night,monday,13.4,61.3,0.9361,855.0,998.0,1566.0,1149.0,-0.2295286185484095,0.5186508288124262,0
105,night,monday,12.6,63.5,0.923,734.0,1128.0,1487.0,1021.0,-0.7168337817736777,-0.1489873230987598,0
107,morning,monday,11.9,67.4,0.9375,703.0,1156.0,1464.0,1010.0,-0.7864488050915732,-0.1627059152613185,0
108,morning,monday,11.4,70.5,0.9475,830.0,1030.0,1584.0,1083.0,-0.5079887118199915,0.2122689371819504,0
109,morning,monday,11.3,70.2,0.9401,966.0,897.0,1710.0,1235.0,0.0489314747231723,0.9302085936891848,0
110,morning,monday,12.4,63.9,0.917,1451.0,652.0,2323.0,1680.0,2.3462272442137224,3.138901931861122,0
111,morning,monday,14.8,54.3,0.9076,1701.0,537.0,2665.0,2184.0,4.156217850479004,3.88885163674766,0
112,morning,monday,17.4,45.6,0.8993,1470.0,622.0,2262.0,1973.0,2.5550723141674085,3.020007466452281,0
113,morning,monday,19.8,38.5,0.8801,1300.0,710.0,2029.0,1798.0,1.4412319410810814,2.073424607235736,0
114,morning,monday,22.0,34.1,0.8904,1120.0,831.0,1783.0,1522.0,0.6754666845842314,1.4606608239747845,0
115,afternoon,monday,23.3,32.2,0.9096,1146.0,830.0,1831.0,1404.0,0.5362366379484403,1.4012135912703638,0
116,afternoon,monday,23.9,30.0,0.8757,1162.0,838.0,1829.0,1263.0,0.5362366379484403,1.3234749023491983,0
117,afternoon,monday,24.4,28.9,0.8736,1053.0,926.0,1707.0,1137.0,0.2577765446768585,0.9439271858517432,0
118,afternoon,monday,24.4,29.4,0.8848,1033.0,950.0,1675.0,1068.0,0.1185464980410675,0.9485000499059296,0
119,afternoon,monday,23.8,31.3,0.9137,1141.0,857.0,1824.0,1252.0,0.4666216146305448,1.5292537847875776,1
120,evening,monday,22.5,35.4,0.9547,1601.0,631.0,2447.0,1843.0,2.7639173841210947,3.687645618363467,0
121,evening,monday,20.4,42.5,1.0086,1754.0,542.0,2679.0,2122.0,4.086602827161109,4.2501078970283706,0
122,evening,monday,18.3,52.6,1.0945,1573.0,565.0,2443.0,1992.0,3.042377477392677,3.58704260917137,0
123,evening,monday,16.7,57.4,1.0786,1294.0,678.0,2058.0,1707.0,1.4412319410810814,2.2151833929155087,0
124,night,monday,15.7,60.2,1.0654,1159.0,764.0,1856.0,1494.0,0.7450817079021269,1.5018166004624605,0
125,night,monday,15.3,61.4,1.058,852.0,1008.0,1547.0,1164.0,-0.5079887118199915,0.1436759763691573,0
126,night,tuesday,14.1,65.7,1.0494,1019.0,852.0,1731.0,1272.0,-0.0206835485947231,0.8844799531473226,0
127,night,tuesday,14.8,60.6,1.0148,784.0,1098.0,1483.0,1040.0,-0.6472187584557824,-0.1672787793155047,0
128,night,tuesday,14.8,59.2,0.9879,640.0,1320.0,1386.0,867.0,-0.925678851727364,-0.6520023690592425,0
129,night,tuesday,13.6,62.1,0.9636,608.0,1376.0,1364.0,826.0,-0.9952938750452596,-0.8303440671725045,0
131,morning,tuesday,12.8,63.2,0.9283,585.0,1412.0,1348.0,793.0,-1.064908898363155,-0.7937611547390149,0
132,morning,tuesday,11.2,68.5,0.9081,681.0,1246.0,1418.0,870.0,-0.8560638284094687,-0.4279320304041184,0
133,morning,tuesday,11.0,66.5,0.8705,770.0,1162.0,1467.0,930.0,-0.5776037351378869,0.2762890339405572,0
134,morning,tuesday,11.7,63.7,0.8719,1185.0,770.0,1889.0,1407.0,0.8843117545379177,1.9682487339894532,1
135,morning,tuesday,13.6,56.3,0.8743,1287.0,698.0,2055.0,1507.0,1.093156824491604,1.959103005881081,0
136,morning,tuesday,17.8,42.9,0.8672,1431.0,628.0,2211.0,1843.0,2.2069971975779312,2.8553843605015774,0
137,morning,tuesday,21.4,33.3,0.8417,1297.0,730.0,1973.0,1729.0,1.3716169177631856,2.1054346556150394,0
138,morning,tuesday,24.4,27.4,0.8231,1250.0,776.0,1868.0,1583.0,0.8146967312200221,1.561263833166881,0
139,afternoon,tuesday,25.3,26.1,0.8264,1359.0,724.0,1998.0,1671.0,1.3020018944452905,2.142017568048529,0
140,afternoon,tuesday,25.8,23.2,0.7589,1309.0,773.0,1897.0,1491.0,1.1627718478094993,1.625283929925488,0
141,afternoon,tuesday,27.0,20.2,0.7094,1136.0,893.0,1675.0,1240.0,0.4666216146305448,0.7747312158468537,0
142,afternoon,tuesday,28.2,18.6,0.7014,1197.0,905.0,1759.0,1313.0,0.5362366379484403,1.3554849507285018,0
143,afternoon,tuesday,28.0,19.1,0.7098,1173.0,898.0,1739.0,1363.0,0.5362366379484403,1.27317339775315,0
144,evening,tuesday,23.9,25.7,0.7519,1235.0,859.0,1778.0,1296.0,0.8843117545379177,1.53839951289595,0
145,evening,tuesday,21.3,34.8,0.873,1271.0,800.0,1875.0,1432.0,1.2323868711273949,2.0139773745313154,0
146,evening,tuesday,20.4,36.7,0.8704,1173.0,854.0,1776.0,1432.0,0.7450817079021269,1.6618668423589775,0
147,evening,tuesday,19.0,41.3,0.9007,1426.0,700.0,2106.0,2034.0,2.06776715094214,3.1526205240236806,1
148,night,tuesday,17.9,45.9,0.9342,1101.0,818.0,1710.0,1602.0,0.3273915679947541,1.227444757211288,0
149,night,tuesday,16.7,48.9,0.9226,943.0,935.0,1560.0,1362.0,-0.2991436418663051,0.4134749555661434,0
150,night,wednesday,15.5,52.9,0.9271,925.0,922.0,1547.0,1314.0,-0.2991436418663051,0.4317664117828882,0
151,night,wednesday,15.5,51.9,0.9059,784.0,1066.0,1442.0,1114.0,-0.6472187584557824,-0.1764245074238771,0
152,night,wednesday,14.1,55.6,0.891,714.0,1169.0,1383.0,992.0,-0.8560638284094687,-0.5148164474336563,0
153,night,wednesday,13.1,57.9,0.8666,625.0,1292.0,1332.0,884.0,-0.9952938750452596,-0.8120526109557598,0
155,morning,wednesday,11.8,58.0,0.8026,554.0,1460.0,1268.0,667.0,-1.1345239216810503,-1.1047159104236768,0
156,morning,wednesday,11.9,57.4,0.7978,576.0,1417.0,1289.0,733.0,-1.1345239216810503,-1.0041129012315804,0
157,morning,wednesday,9.9,65.2,0.7956,878.0,1038.0,1556.0,1052.0,-0.3687586651842005,0.2854347620489297,0
158,morning,wednesday,11.1,60.2,0.7958,1334.0,702.0,1999.0,1534.0,1.3716169177631856,2.178600480482019,0
159,morning,wednesday,14.1,50.0,0.802,1696.0,553.0,2535.0,1931.0,3.1119925007105724,3.3904094548413632,0
160,morning,wednesday,17.7,40.1,0.8048,1331.0,703.0,2026.0,1734.0,1.5108469643989766,1.8813643169599157,0
161,morning,wednesday,21.1,33.4,0.8265,1161.0,819.0,1782.0,1595.0,0.5362366379484403,1.4972437364082742,0
162,morning,wednesday,24.3,28.3,0.8471,1067.0,905.0,1654.0,1490.0,0.2577765446768585,1.291464853969895,1
163,afternoon,wednesday,25.6,25.6,0.8254,1152.0,861.0,1747.0,1508.0,0.4666216146305448,1.561263833166881,1
164,afternoon,wednesday,25.9,25.9,0.8503,1108.0,887.0,1712.0,1334.0,0.3273915679947541,1.27317339775315,0
165,afternoon,wednesday,26.8,18.7,0.65,994.0,1013.0,1520.0,1045.0,-0.0902985719126186,0.4409121398912606,0
166,afternoon,wednesday,29.3,15.8,0.6309,1154.0,940.0,1679.0,1221.0,0.5362366379484403,1.1634246604526812,0
167,afternoon,wednesday,28.5,14.9,0.5708,1060.0,1032.0,1525.0,1069.0,0.2577765446768585,0.6238267020587089,0
168,evening,wednesday,25.9,16.0,0.5237,1478.0,793.0,1981.0,1569.0,1.9981521276242449,2.0414145588564327,0
169,evening,wednesday,23.1,26.5,0.7403,1737.0,617.0,2414.0,2306.0,3.808142733889527,3.9437260053978944,0
170,evening,wednesday,20.5,38.2,0.9133,1667.0,597.0,2416.0,2359.0,3.181607524028468,3.952871733506267,0
171,evening,wednesday,19.1,42.6,0.9294,1485.0,653.0,2174.0,2050.0,2.485457290849513,3.1297562037527498,0
172,night,wednesday,17.2,44.1,0.8558,1150.0,770.0,1727.0,1727.0,0.4666216146305448,1.5246809207333916,1
173,night,wednesday,16.0,50.9,0.9206,1171.0,731.0,1778.0,1705.0,0.3273915679947541,1.7258869391175846,1
174,night,thursday,14.8,53.9,0.9024,1083.0,796.0,1669.0,1551.0,0.1185464980410675,1.1908618447777983,1
175,night,thursday,14.3,55.4,0.8975,904.0,947.0,1502.0,1240.0,-0.5079887118199915,0.2305603933986952,0
176,night,thursday,14.8,52.1,0.8686,787.0,1057.0,1407.0,1115.0,-0.7864488050915732,-0.2130074198573667,0
177,night,thursday,13.9,53.9,0.8501,687.0,1196.0,1351.0,969.0,-0.9952938750452596,-0.6428566409508701,0
179,morning,thursday,12.0,58.9,0.8233,623.0,1293.0,1307.0,828.0,-1.064908898363155,-0.8211983390641321,0
180,morning,thursday,10.9,62.1,0.8113,650.0,1251.0,1333.0,893.0,-0.9952938750452596,-0.7891882906848287,0
181,morning,thursday,10.6,63.3,0.8067,885.0,1005.0,1551.0,1075.0,-0.4383736885020959,0.2534247136696262,0
182,morning,thursday,11.5,60.0,0.8117,1384.0,667.0,2094.0,1610.0,1.7893070576705588,2.4346808675164464,0
183,morning,thursday,14.3,50.6,0.8186,1682.0,541.0,2468.0,2051.0,3.1119925007105724,3.765384307284633,0
184,morning,thursday,17.8,40.5,0.821,1333.0,686.0,2010.0,1819.0,1.6500770110347678,2.315786402107605,0
185,morning,thursday,20.8,34.4,0.8365,1127.0,831.0,1752.0,1568.0,0.4666216146305448,1.6572939783047915,1
186,morning,thursday,23.8,28.2,0.8219,1068.0,899.0,1663.0,1374.0,0.0489314747231723,1.227444757211288,1
187,afternoon,thursday,24.2,28.7,0.8515,1056.0,891.0,1648.0,1268.0,0.0489314747231723,1.2548819415364054,1
188,afternoon,thursday,25.2,24.9,0.7829,1087.0,901.0,1660.0,1144.0,0.1185464980410675,1.227444757211288,1
189,afternoon,thursday,27.0,17.8,0.6275,1129.0,934.0,1639.0,1109.0,0.0489314747231723,0.9667915061226744,0
190,afternoon,thursday,27.1,23.1,0.818,1205.0,822.0,1767.0,1347.0,0.4666216146305448,1.7624698515510742,1
191,afternoon,thursday,25.8,23.9,0.7832,1131.0,873.0,1689.0,1206.0,0.3970065913126496,1.3646306788368745,0
192,evening,thursday,23.0,26.8,0.7446,1338.0,764.0,1957.0,1397.0,1.093156824491604,1.84020854047224,0
193,evening,thursday,20.7,31.1,0.7523,1464.0,683.0,2118.0,1588.0,2.06776715094214,2.5444296048169157,0
194,evening,thursday,18.6,36.2,0.7676,1453.0,684.0,2051.0,1569.0,2.06776715094214,2.5444296048169157,0
195,evening,thursday,16.0,48.4,0.8768,1121.0,814.0,1732.0,1322.0,0.7450817079021269,1.4606608239747845,0
196,night,thursday,14.5,57.8,0.9456,989.0,885.0,1621.0,1194.0,-0.0206835485947231,1.0170930107187226,1
197,night,thursday,13.1,64.2,0.9606,911.0,948.0,1545.0,1062.0,-0.2991436418663051,0.692419662871502,0
198,night,friday,12.0,69.7,0.9735,936.0,918.0,1606.0,1040.0,-0.0902985719126186,0.8067412642261571,0
199,night,friday,11.9,71.1,0.9915,840.0,1021.0,1501.0,917.0,-0.3687586651842005,0.1070930639356676,0
200,night,friday,12.5,69.3,1.0029,688.0,1229.0,1380.0,594.0,-0.8560638284094687,-0.5102435833794702,0
201,night,friday,12.5,67.5,0.9768,622.0,1382.0,1301.0,430.0,-0.9952938750452596,-0.6840124174385459,0
203,morning,friday,12.5,66.8,0.962,525.0,1620.0,1260.0,370.0,-1.1345239216810503,-0.9035098920394838,0
204,morning,friday,12.3,66.3,0.9487,607.0,1373.0,1324.0,438.0,-0.9952938750452596,-0.6474295050050564,0
205,morning,friday,12.4,64.9,0.9332,845.0,1054.0,1539.0,704.0,-0.4383736885020959,0.3265905385366055,0
206,morning,friday,13.0,61.6,0.9209,1372.0,671.0,2144.0,1476.0,1.858922080988454,2.8782486807725083,1
207,morning,friday,13.6,58.8,0.912,1582.0,575.0,2456.0,1716.0,2.83353240743899,3.239504941053218,0
208,morning,friday,13.9,57.1,0.9032,1275.0,701.0,1980.0,1398.0,1.3020018944452905,1.446942231812226,0
209,morning,friday,14.5,54.4,0.8917,1191.0,759.0,1879.0,1268.0,0.8146967312200221,1.2777462618073363,0
210,morning,friday,15.5,50.1,0.8744,1117.0,813.0,1751.0,1188.0,0.4666216146305448,0.7884498080094123,0
211,afternoon,friday,16.1,47.6,0.8655,1157.0,793.0,1801.0,1171.0,0.6058516612663358,0.8844799531473226,0
212,afternoon,friday,16.3,47.1,0.864,1202.0,771.0,1875.0,1250.0,0.8146967312200221,1.158851796398495,0
213,afternoon,friday,16.4,47.5,0.8791,1268.0,724.0,1957.0,1344.0,0.9539267778558131,1.3692035428910605,0
214,afternoon,friday,16.1,50.2,0.9094,1280.0,708.0,1955.0,1378.0,1.3020018944452905,1.67101257046735,0
215,afternoon,friday,16.0,50.7,0.9142,1320.0,690.0,2005.0,1435.0,1.719692034352663,1.8813643169599157,0
216,evening,friday,15.8,50.3,0.8989,1301.0,704.0,1952.0,1372.0,1.3716169177631856,1.5155351926250191,0
217,evening,friday,15.5,50.6,0.884,1344.0,677.0,1997.0,1471.0,1.6500770110347678,1.6390025220880466,0
218,evening,friday,15.4,51.4,0.8956,1292.0,698.0,1942.0,1439.0,1.2323868711273949,1.6298567939796742,0
219,evening,friday,15.2,53.1,0.9117,1202.0,748.0,1854.0,1429.0,1.3020018944452905,1.4195050474871087,0
220,night,friday,14.7,57.6,0.9573,945.0,904.0,1604.0,1081.0,0.0489314747231723,0.2945804901573021,0
221,night,friday,14.2,58.3,0.938,912.0,948.0,1547.0,993.0,-0.0206835485947231,0.4774950523247503,0
222,night,saturday,13.8,57.9,0.9085,802.0,1064.0,1447.0,837.0,-0.2991436418663051,0.0750830155563642,0
223,night,saturday,13.9,55.9,0.8842,773.0,1105.0,1429.0,761.0,-0.3687586651842005,-0.0941129544485254,0
224,night,saturday,13.9,55.6,0.8765,718.0,1182.0,1382.0,650.0,-0.5776037351378869,-0.4279320304041184,0
225,night,saturday,13.8,55.1,0.8666,677.0,1252.0,1359.0,591.0,-0.5776037351378869,-0.5193893114878425,0
227,morning,saturday,13.6,55.1,0.856,661.0,1260.0,1351.0,518.0,-0.925678851727364,-0.706876737709477,0
228,morning,saturday,13.6,59.0,0.9129,622.0,1317.0,1342.0,571.0,-0.925678851727364,-0.6611480971676149,0
229,morning,saturday,13.5,58.4,0.896,728.0,1161.0,1461.0,842.0,-0.7168337817736777,-0.2130074198573667,0
230,morning,saturday,13.8,58.0,0.9083,935.0,902.0,1623.0,1145.0,-0.0206835485947231,0.8661884969305779,0
231,morning,saturday,14.6,53.1,0.8765,998.0,834.0,1689.0,1218.0,0.188161521358963,1.0856859715315157,0
232,morning,saturday,15.0,52.3,0.8881,1068.0,776.0,1764.0,1341.0,0.3273915679947541,1.4377965037038536,1
233,morning,saturday,15.4,52.1,0.9046,1061.0,768.0,1768.0,1406.0,0.4666216146305448,1.6618668423589775,1
234,morning,saturday,16.3,50.0,0.9158,1039.0,782.0,1757.0,1422.0,0.3273915679947541,1.7350326672259568,1
235,afternoon,saturday,17.1,47.9,0.9281,1040.0,809.0,1735.0,1373.0,0.3273915679947541,1.757896987496888,1
236,afternoon,saturday,19.0,42.9,0.937,953.0,900.0,1636.0,1153.0,-0.0206835485947231,1.2137261650487294,1
237,afternoon,saturday,19.5,42.3,0.9476,884.0,980.0,1573.0,927.0,-0.2991436418663051,0.8890528172015089,1
