,true_error,time_slot,day_of_week,T,RH,AH,PT08.S1(CO),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),true_label,given_label
60,0,morning,saturday,6.3,71.9,0.6932,1112.0,1228.0,1409.0,940.0,0.2148,0.8199
61,0,morning,saturday,6.5,71.6,0.6945,1336.0,935.0,1678.0,1192.0,0.6033,1.1106
62,0,morning,saturday,9.6,59.7,0.7124,1408.0,830.0,1777.0,1411.0,1.0923,1.2277
63,0,morning,saturday,12.4,51.2,0.7335,1447.0,869.0,1667.0,1465.0,0.7312,1.151
64,0,morning,saturday,15.6,42.2,0.7451,1542.0,808.0,1780.0,1583.0,1.2933,1.2607
65,0,morning,saturday,18.4,33.8,0.709,1451.0,875.0,1679.0,1387.0,0.9597,1.1894
66,0,afternoon,saturday,19.4,31.3,0.695,1328.0,987.0,1600.0,1101.0,0.7038,1.1276
67,0,afternoon,saturday,18.0,34.8,0.7127,1207.0,1088.0,1488.0,850.0,0.5119,0.9839
68,0,afternoon,saturday,18.4,33.6,0.7042,1240.0,1049.0,1532.0,947.0,0.4936,1.0084
69,0,afternoon,saturday,17.6,35.1,0.7012,1306.0,1004.0,1554.0,1078.0,0.5073,1.0509
70,0,afternoon,saturday,16.7,37.8,0.7117,1326.0,976.0,1602.0,1084.0,0.4433,1.0648
71,0,evening,saturday,16.1,41.0,0.7451,1473.0,831.0,1779.0,1395.0,0.8729,1.2383
72,0,evening,saturday,15.8,42.4,0.7569,1609.0,758.0,1922.0,1612.0,1.1791,1.3693
73,0,evening,saturday,15.7,44.1,0.7786,1611.0,754.0,1915.0,1697.0,1.2979,1.3565
74,0,evening,saturday,15.3,46.8,0.8091,1621.0,762.0,1860.0,1886.0,1.2294,1.3278
75,0,night,saturday,14.6,48.6,0.806,1444.0,844.0,1748.0,1624.0,0.8226,1.1596
76,0,night,saturday,14.7,49.3,0.8193,1418.0,892.0,1603.0,1536.0,0.5301,1.0754
77,0,night,sunday,13.9,53.6,0.8498,1534.0,889.0,1611.0,1535.0,0.425,1.0786
78,0,night,sunday,14.6,51.5,0.8536,1484.0,880.0,1624.0,1530.0,0.5987,1.1127
79,0,night,sunday,12.5,58.9,0.8537,1367.0,953.0,1543.0,1337.0,0.4205,0.9849
80,0,night,sunday,11.6,63.4,0.8674,1344.0,921.0,1620.0,1278.0,0.6033,1.0307
81,0,night,sunday,12.1,61.1,0.8603,1130.0,1130.0,1452.0,1051.0,0.2559,0.8231
82,0,morning,sunday,11.5,63.1,0.8533,1062.0,1272.0,1377.0,929.0,0.1462,0.7358
83,0,morning,sunday,11.6,62.2,0.8473,1076.0,1395.0,1333.0,872.0,0.1325,0.658
84,0,morning,sunday,10.4,67.6,0.853,1028.0,1384.0,1340.0,853.0,0.1234,0.6548
85,0,morning,sunday,11.6,62.7,0.853,1155.0,1225.0,1414.0,959.0,0.1645,0.7688
86,0,morning,sunday,12.4,60.0,0.8627,1235.0,1055.0,1527.0,1093.0,0.2605,0.8816
87,0,morning,sunday,14.5,53.1,0.8728,1332.0,952.0,1614.0,1225.0,0.5895,0.9828
88,0,morning,sunday,16.9,46.1,0.8789,1445.0,878.0,1696.0,1355.0,0.6764,1.0744
89,0,morning,sunday,19.3,38.3,0.8474,1416.0,907.0,1677.0,1262.0,0.6627,1.0669
90,0,afternoon,sunday,21.2,31.4,0.7812,1281.0,1084.0,1525.0,980.0,0.425,0.937
91,0,afternoon,sunday,21.4,30.2,0.7616,1207.0,1104.0,1490.0,872.0,0.3839,0.9359
92,0,afternoon,sunday,21.9,29.0,0.7525,1258.0,1081.0,1511.0,900.0,0.4524,0.9647
93,0,afternoon,sunday,22.2,28.4,0.7516,1458.0,974.0,1646.0,1099.0,0.6855,1.1127
94,0,afternoon,sunday,21.3,30.8,0.7696,1438.0,943.0,1668.0,1206.0,0.7129,1.1191
95,0,evening,sunday,19.7,36.7,0.8307,1478.0,929.0,1671.0,1262.0,0.5576,1.1234
96,0,evening,sunday,18.4,41.7,0.8732,1808.0,753.0,1993.0,1698.0,1.1974,1.397
97,0,evening,sunday,17.6,46.1,0.921,1898.0,681.0,2103.0,1905.0,1.5584,1.4705
98,0,evening,sunday,16.7,49.6,0.932,1560.0,784.0,1818.0,1648.0,0.978,1.2139
99,0,night,sunday,16.3,51.0,0.9341,1324.0,924.0,1587.0,1423.0,0.457,1.0009
100,0,night,sunday,14.7,55.9,0.9314,1349.0,933.0,1617.0,1349.0,0.361,0.9934
101,0,night,monday,14.8,54.7,0.9164,1239.0,985.0,1547.0,1250.0,0.3016,0.9285
102,0,night,monday,14.0,57.0,0.9094,1239.0,1010.0,1543.0,1174.0,0.3336,0.9083
103,0,night,monday,13.4,61.3,0.9361,1224.0,998.0,1566.0,1149.0,0.3016,0.9104
104,0,night,monday,12.6,63.5,0.923,1078.0,1128.0,1487.0,1021.0,0.2011,0.7816
105,0,night,monday,12.3,65.4,0.9351,1078.0,1150.0,1468.0,1013.0,0.2011,0.7571
106,0,morning,monday,11.9,67.4,0.9375,1075.0,1156.0,1464.0,1010.0,0.1782,0.7485
107,0,morning,monday,11.4,70.5,0.9475,1157.0,1030.0,1584.0,1083.0,0.2331,0.8838
108,0,morning,monday,11.3,70.2,0.9401,1314.0,897.0,1710.0,1235.0,0.489,1.0286
109,0,morning,monday,12.4,63.9,0.917,1797.0,652.0,2323.0,1680.0,1.5356,1.545
110,1,morning,monday,14.8,54.3,0.9076,1961.0,537.0,2665.0,2184.0,2.8243,1.8112
111,0,morning,monday,17.4,45.6,0.8993,1771.0,622.0,2262.0,1973.0,2.0017,1.5652
112,0,morning,monday,19.8,38.5,0.8801,1564.0,710.0,2029.0,1798.0,1.5264,1.3842
113,0,morning,monday,22.0,34.1,0.8904,1430.0,831.0,1783.0,1522.0,1.01,1.1926
114,0,afternoon,monday,23.3,32.2,0.9096,1417.0,830.0,1831.0,1404.0,0.946,1.2202
115,0,afternoon,monday,23.9,30.0,0.8757,1400.0,838.0,1829.0,1263.0,0.8729,1.2373
116,0,afternoon,monday,24.4,28.9,0.8736,1317.0,926.0,1707.0,1137.0,0.8455,1.1212
117,0,afternoon,monday,24.4,29.4,0.8848,1318.0,950.0,1675.0,1068.0,0.6444,1.0999
118,0,afternoon,monday,23.8,31.3,0.9137,1445.0,857.0,1824.0,1252.0,0.978,1.2149
119,0,evening,monday,22.5,35.4,0.9547,1917.0,631.0,2447.0,1843.0,2.1525,1.7047
120,1,evening,monday,20.4,42.5,1.0086,2040.0,542.0,2679.0,2122.0,3.1305,1.8676
121,0,evening,monday,18.3,52.6,1.0945,1895.0,565.0,2443.0,1992.0,2.4587,1.6749
122,0,evening,monday,16.7,57.4,1.0786,1595.0,678.0,2058.0,1707.0,1.4579,1.3778
123,0,night,monday,15.7,60.2,1.0654,1439.0,764.0,1856.0,1494.0,1.0237,1.2341
124,0,night,monday,15.3,61.4,1.058,1142.0,1008.0,1547.0,1164.0,0.3062,0.9072
125,0,night,tuesday,14.1,65.7,1.0494,1304.0,852.0,1731.0,1272.0,0.7084,1.085
126,0,night,tuesday,14.8,60.6,1.0148,1074.0,1098.0,1483.0,1040.0,0.2239,0.8348
127,0,night,tuesday,14.8,59.2,0.9879,968.0,1320.0,1386.0,867.0,0.1325,0.6815
128,0,night,tuesday,13.6,62.1,0.9636,929.0,1376.0,1364.0,826.0,0.1143,0.6474
129,0,night,tuesday,12.3,66.2,0.945,941.0,1316.0,1373.0,840.0,0.1143,0.6666
130,0,morning,tuesday,12.8,63.2,0.9283,937.0,1412.0,1348.0,793.0,0.0777,0.6229
131,0,morning,tuesday,11.2,68.5,0.9081,1017.0,1246.0,1418.0,870.0,0.1234,0.7251
132,0,morning,tuesday,11.0,66.5,0.8705,1171.0,1162.0,1467.0,930.0,0.2285,0.8199
133,0,morning,tuesday,11.7,63.7,0.8719,1541.0,770.0,1889.0,1407.0,0.9963,1.2618
134,0,morning,tuesday,13.6,56.3,0.8743,1539.0,698.0,2055.0,1507.0,1.3025,1.3704
135,0,morning,tuesday,17.8,42.9,0.8672,1735.0,628.0,2211.0,1843.0,1.9971,1.5237
136,0,morning,tuesday,21.4,33.3,0.8417,1571.0,730.0,1973.0,1729.0,1.4944,1.381
137,0,morning,tuesday,24.4,27.4,0.8231,1452.0,776.0,1868.0,1583.0,1.2933,1.331
138,0,afternoon,tuesday,25.3,26.1,0.8264,1579.0,724.0,1998.0,1671.0,1.6727,1.447
139,0,afternoon,tuesday,25.8,23.2,0.7589,1466.0,773.0,1897.0,1491.0,1.4533,1.3938
140,0,afternoon,tuesday,27.0,20.2,0.7094,1280.0,893.0,1675.0,1240.0,1.042,1.2096
141,0,afternoon,tuesday,28.2,18.6,0.7014,1407.0,905.0,1759.0,1313.0,0.9186,1.2746
142,0,afternoon,tuesday,28.0,19.1,0.7098,1389.0,898.0,1739.0,1363.0,0.9095,1.249
143,0,evening,tuesday,23.9,25.7,0.7519,1447.0,859.0,1778.0,1296.0,1.0831,1.315
144,0,evening,tuesday,21.3,34.8,0.873,1551.0,800.0,1875.0,1432.0,1.1928,1.3533
145,0,evening,tuesday,20.4,36.7,0.8704,1474.0,854.0,1776.0,1432.0,1.0511,1.249
146,0,evening,tuesday,19.0,41.3,0.9007,1800.0,700.0,2106.0,2034.0,1.595,1.5184
147,0,night,tuesday,17.9,45.9,0.9342,1379.0,818.0,1710.0,1602.0,0.8363,1.1723
148,0,night,tuesday,16.7,48.9,0.9226,1201.0,935.0,1560.0,1362.0,0.4022,1.0041
149,0,night,wednesday,15.5,52.9,0.9271,1205.0,922.0,1547.0,1314.0,0.3885,0.9849
150,0,night,wednesday,15.5,51.9,0.9059,1072.0,1066.0,1442.0,1114.0,0.2148,0.8348
151,0,night,wednesday,14.1,55.6,0.891,998.0,1169.0,1383.0,992.0,0.1554,0.7603
152,0,night,wednesday,13.1,57.9,0.8666,933.0,1292.0,1332.0,884.0,0.1188,0.6655
153,0,night,wednesday,12.7,57.9,0.8447,883.0,1396.0,1303.0,808.0,0.0777,0.6144
154,0,morning,wednesday,11.8,58.0,0.8026,869.0,1460.0,1268.0,667.0,0.0503,0.5899
155,0,morning,wednesday,11.9,57.4,0.7978,891.0,1417.0,1289.0,733.0,0.0823,0.6133
156,0,morning,wednesday,9.9,65.2,0.7956,1173.0,1038.0,1556.0,1052.0,0.3839,0.9349
157,0,morning,wednesday,11.1,60.2,0.7958,1587.0,702.0,1999.0,1534.0,1.1882,1.4204
158,0,morning,wednesday,14.1,50.0,0.802,1852.0,553.0,2535.0,1931.0,2.4405,1.8059
159,0,morning,wednesday,17.7,40.1,0.8048,1522.0,703.0,2026.0,1734.0,1.6818,1.4172
160,0,morning,wednesday,21.1,33.4,0.8265,1438.0,819.0,1782.0,1595.0,0.914,1.2362
161,0,morning,wednesday,24.3,28.3,0.8471,1393.0,905.0,1654.0,1490.0,0.6627,1.1361
162,0,afternoon,wednesday,25.6,25.6,0.8254,1452.0,861.0,1747.0,1508.0,0.8592,1.2266
163,0,afternoon,wednesday,25.9,25.9,0.8503,1389.0,887.0,1712.0,1334.0,0.6947,1.1798
164,0,afternoon,wednesday,26.8,18.7,0.65,1207.0,1013.0,1520.0,1045.0,0.4707,1.0584
165,0,afternoon,wednesday,29.3,15.8,0.6309,1365.0,940.0,1679.0,1221.0,0.882,1.2288
166,0,afternoon,wednesday,28.5,14.9,0.5708,1247.0,1032.0,1525.0,1069.0,0.6124,1.1287
167,0,evening,wednesday,25.9,16.0,0.5237,1557.0,793.0,1981.0,1569.0,1.7641,1.5738
168,0,evening,wednesday,23.1,26.5,0.7403,1973.0,617.0,2414.0,2306.0,2.637,1.8495
169,0,evening,wednesday,20.5,38.2,0.9133,1975.0,597.0,2416.0,2359.0,2.3902,1.775
170,0,evening,wednesday,19.1,42.6,0.9294,1795.0,653.0,2174.0,2050.0,2.1571,1.5812
171,0,night,wednesday,17.2,44.1,0.8558,1444.0,770.0,1727.0,1727.0,0.9414,1.2245
172,0,night,wednesday,16.0,50.9,0.9206,1488.0,731.0,1778.0,1705.0,0.9871,1.2469
173,0,night,thursday,14.8,53.9,0.9024,1371.0,796.0,1669.0,1551.0,0.7267,1.1532
174,0,night,thursday,14.3,55.4,0.8975,1161.0,947.0,1502.0,1240.0,0.3199,0.9626
175,0,night,thursday,14.8,52.1,0.8686,1064.0,1057.0,1407.0,1115.0,0.2011,0.838
176,0,night,thursday,13.9,53.9,0.8501,970.0,1196.0,1351.0,969.0,0.1919,0.7315
177,0,night,thursday,11.6,61.9,0.8442,954.0,1260.0,1334.0,925.0,0.128,0.6868
178,0,morning,thursday,12.0,58.9,0.8233,931.0,1293.0,1307.0,828.0,0.0914,0.6634
179,0,morning,thursday,10.9,62.1,0.8113,938.0,1251.0,1333.0,893.0,0.1188,0.6921
180,0,morning,thursday,10.6,63.3,0.8067,1166.0,1005.0,1551.0,1075.0,0.3565,0.9423
181,0,morning,thursday,11.5,60.0,0.8117,1643.0,667.0,2094.0,1610.0,1.4579,1.4737
182,0,morning,thursday,14.3,50.6,0.8186,1934.0,541.0,2468.0,2051.0,2.3125,1.791
183,0,afternoon,monday,21.3,24.2,0.606,1076.0,964.0,1544.0,813.0,2.0611,1.101
184,0,afternoon,monday,20.2,28.5,0.6682,1152.0,928.0,1606.0,850.0,0.8455,1.1308
185,0,evening,monday,17.0,43.1,0.8264,1407.0,720.0,1932.0,1276.0,1.9469,1.3299
186,1,evening,monday,15.6,47.4,0.8347,1438.0,678.0,1993.0,1401.0,3.0711,1.4108
187,1,evening,monday,15.3,47.4,0.8178,1425.0,678.0,1965.0,1356.0,2.8518,1.4108
188,0,evening,monday,14.5,49.7,0.8177,1279.0,775.0,1758.0,1243.0,1.4853,1.2043
189,0,night,monday,13.9,52.0,0.8231,1132.0,920.0,1561.0,1083.0,0.6535,0.9753
190,0,night,monday,14.5,49.4,0.8106,1006.0,1142.0,1370.0,795.0,0.4067,0.7762
191,0,night,tuesday,13.8,51.4,0.8071,982.0,1204.0,1359.0,735.0,0.3336,0.7454
192,0,night,tuesday,14.0,51.3,0.8163,969.0,1271.0,1309.0,684.0,0.2194,0.6772
193,0,night,tuesday,13.0,56.8,0.8444,941.0,1298.0,1330.0,714.0,0.2148,0.6612
194,0,night,tuesday,11.0,70.0,0.9215,892.0,1522.0,1285.0,456.0,0.1645,0.5558
195,0,night,tuesday,10.1,76.8,0.9483,855.0,1701.0,1261.0,401.0,0.1143,0.509
196,0,morning,tuesday,8.8,80.5,0.9147,834.0,1908.0,1212.0,361.0,0.0868,0.4887
197,0,morning,tuesday,9.6,75.4,0.9004,909.0,1542.0,1287.0,418.0,0.1188,0.6037
198,0,morning,tuesday,9.8,75.0,0.9093,1061.0,1178.0,1429.0,616.0,0.2742,0.7933
199,0,morning,tuesday,10.0,74.2,0.9117,1441.0,851.0,1829.0,1089.0,1.1334,1.1968
200,1,morning,tuesday,11.2,69.7,0.9232,1498.0,684.0,2095.0,1329.0,2.445,1.4108
201,0,morning,tuesday,12.0,62.9,0.8803,1343.0,760.0,1857.0,1311.0,1.5538,1.2618
202,0,morning,tuesday,12.8,55.8,0.821,1308.0,792.0,1794.0,1236.0,1.4853,1.2415
203,0,morning,tuesday,13.1,54.8,0.8234,1209.0,837.0,1746.0,1147.0,1.2202,1.1681
204,0,afternoon,tuesday,13.8,53.4,0.8351,1310.0,770.0,1847.0,1301.0,1.4853,1.2852
205,0,afternoon,tuesday,16.0,42.4,0.7674,1171.0,881.0,1639.0,1097.0,1.2248,1.1329
206,0,afternoon,tuesday,14.1,49.8,0.7971,1112.0,924.0,1589.0,900.0,0.6215,1.0435
207,0,afternoon,tuesday,12.0,61.1,0.8537,1132.0,944.0,1570.0,781.0,0.5393,0.9871
208,0,afternoon,tuesday,13.6,54.6,0.8465,1225.0,818.0,1719.0,1013.0,1.2614,1.183
209,0,evening,tuesday,13.7,49.5,0.7695,1065.0,962.0,1514.0,790.0,0.6901,1.0147
210,0,evening,tuesday,11.7,57.1,0.7822,1236.0,854.0,1688.0,1059.0,1.0786,1.1542
211,0,evening,tuesday,11.5,58.2,0.7867,1309.0,812.0,1722.0,1205.0,1.0054,1.199
212,0,evening,tuesday,12.6,54.2,0.7881,1089.0,1006.0,1487.0,975.0,0.3976,0.9413
213,0,night,tuesday,12.0,54.9,0.7664,1000.0,1141.0,1375.0,896.0,0.3702,0.8263
214,0,night,tuesday,11.0,61.4,0.8057,1041.0,1105.0,1425.0,911.0,0.3382,0.8327
215,0,night,wednesday,11.1,62.2,0.8199,1045.0,1137.0,1411.0,902.0,0.2514,0.805
216,0,night,wednesday,10.8,62.5,0.8082,997.0,1151.0,1405.0,832.0,0.3382,0.7922
217,0,night,wednesday,11.3,60.0,0.8025,948.0,1320.0,1326.0,715.0,0.16,0.6751
218,0,night,wednesday,10.6,61.6,0.7856,878.0,1493.0,1272.0,683.0,0.1325,0.5867
219,0,night,wednesday,10.2,62.7,0.7813,908.0,1477.0,1287.0,721.0,0.1325,0.5952
220,0,morning,wednesday,10.9,58.6,0.7628,892.0,1572.0,1255.0,648.0,0.0914,0.5558
221,0,morning,wednesday,10.8,57.2,0.7382,954.0,1496.0,1255.0,612.0,0.1462,0.5973
222,0,morning,wednesday,10.4,59.2,0.7455,1045.0,1186.0,1403.0,800.0,0.3839,0.7997
223,0,morning,wednesday,11.0,57.3,0.7501,1383.0,832.0,1706.0,1173.0,1.1197,1.1809
224,1,morning,wednesday,11.2,56.9,0.7565,1597.0,652.0,2080.0,1519.0,2.5273,1.4854
225,0,morning,wednesday,12.1,54.9,0.7734,1318.0,762.0,1770.0,1287.0,2.0566,1.1968
226,0,morning,wednesday,15.1,44.3,0.7535,1138.0,950.0,1505.0,966.0,0.5393,0.9562
227,0,morning,wednesday,15.6,40.6,0.7146,1098.0,1012.0,1440.0,828.0,0.5393,0.8966
228,0,afternoon,wednesday,16.9,34.6,0.6597,1118.0,959.0,1477.0,825.0,0.6581,0.9871
229,0,afternoon,wednesday,16.6,35.6,0.6697,1170.0,879.0,1566.0,872.0,0.7267,1.0744
230,0,afternoon,wednesday,11.3,63.9,0.8554,1112.0,1015.0,1494.0,680.0,0.5576,0.8966
231,0,afternoon,wednesday,9.6,81.1,0.972,1390.0,829.0,1730.0,1002.0,1.0511,1.0946
232,0,afternoon,wednesday,11.7,69.1,0.9497,1353.0,774.0,1783.0,1159.0,1.4624,1.167
233,0,evening,wednesday,10.7,68.5,0.8794,1260.0,828.0,1722.0,979.0,1.2019,1.118
234,1,evening,wednesday,10.7,67.3,0.8643,1501.0,681.0,2008.0,1311.0,2.541,1.3864
235,0,evening,wednesday,10.8,65.7,0.8486,1273.0,795.0,1744.0,1071.0,2.0931,1.2032
236,0,evening,wednesday,10.3,66.3,0.8336,1179.0,928.0,1571.0,899.0,0.978,1.0169
237,0,night,wednesday,10.1,66.9,0.8248,1047.0,1064.0,1435.0,766.0,0.4433,0.8614
238,0,night,wednesday,10.4,61.1,0.7717,973.0,1186.0,1354.0,589.0,0.361,0.7869
239,0,night,thursday,10.3,59.9,0.7516,997.0,1168.0,1341.0,631.0,0.3702,0.7847
240,0,night,thursday,11.0,58.4,0.7686,970.0,1400.0,1249.0,479.0,0.2376,0.6612
241,0,night,thursday,9.1,68.1,0.789,902.0,1450.0,1253.0,479.0,0.1737,0.6048
242,0,night,thursday,9.5,68.2,0.8091,921.0,1564.0,1224.0,417.0,0.16,0.5729
243,0,night,thursday,9.3,72.3,0.8496,858.0,1707.0,1212.0,378.0,0.1325,0.5217
244,0,morning,thursday,9.9,66.8,0.8152,878.0,1935.0,1158.0,344.0,0.096,0.4866
245,0,morning,thursday,7.6,83.2,0.8695,893.0,1604.0,1268.0,413.0,0.2102,0.575
246,0,morning,thursday,8.1,79.0,0.8544,1038.0,1260.0,1383.0,605.0,0.2514,0.7422
247,0,morning,thursday,8.7,74.6,0.8429,1320.0,902.0,1721.0,991.0,1.2385,1.1021
248,0,morning,thursday,8.6,75.1,0.8415,1353.0,740.0,1937.0,1175.0,1.9834,1.315
249,0,morning,thursday,9.7,69.7,0.8389,1133.0,969.0,1552.0,923.0,1.371,0.9934
250,0,morning,thursday,11.0,64.4,0.8447,1066.0,1039.0,1468.0,829.0,0.5301,0.904
251,0,morning,thursday,13.6,53.0,0.8209,1027.0,1081.0,1442.0,733.0,0.4342,0.8614
252,0,afternoon,thursday,14.2,48.4,0.778,1106.0,958.0,1570.0,819.0,0.9643,0.9956
253,0,afternoon,thursday,14.2,46.3,0.7438,1038.0,976.0,1492.0,723.0,0.7678,0.9658
254,0,afternoon,thursday,16.0,41.3,0.7462,1084.0,986.0,1501.0,786.0,0.7038,0.9839
255,0,afternoon,thursday,17.7,35.4,0.7094,1105.0,939.0,1545.0,850.0,1.2202,1.0456
256,0,afternoon,thursday,17.1,37.4,0.7225,1102.0,968.0,1527.0,820.0,0.6535,1.019
257,0,evening,thursday,14.9,40.5,0.6835,1240.0,836.0,1748.0,991.0,1.7092,1.2107
258,1,evening,thursday,13.4,47.8,0.7293,1443.0,666.0,2060.0,1454.0,3.6424,1.5099
259,1,evening,thursday,12.6,52.5,0.7642,1389.0,692.0,1982.0,1488.0,3.19,1.4279
260,0,evening,thursday,12.2,53.2,0.7555,1183.0,904.0,1539.0,1205.0,1.0694,1.0531
261,0,night,thursday,10.6,56.1,0.714,1014.0,1083.0,1376.0,909.0,0.4753,0.8497
