,true_error,time_slot,day_of_week,T,RH,AH,PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S5(O3),true_label,given_label
19,0,afternoon,thursday,8.0,81.1,0.8736,1371.0,1034.0,983.0,1037.0,1.1318,1.188
20,0,afternoon,thursday,8.3,79.8,0.8778,1310.0,933.0,1082.0,946.0,1.1141,1.131
21,0,afternoon,thursday,9.7,71.2,0.8569,1292.0,912.0,1103.0,957.0,1.1584,1.0925
22,0,afternoon,thursday,9.8,67.6,0.8185,1383.0,1020.0,1008.0,1104.0,1.1937,1.1804
23,0,evening,thursday,10.3,64.2,0.8065,1581.0,1319.0,799.0,1409.0,1.3352,1.4304
24,0,evening,thursday,9.7,69.3,0.8319,1776.0,1488.0,702.0,1704.0,1.5209,1.602
25,0,evening,thursday,9.6,67.8,0.8133,1640.0,1404.0,743.0,1654.0,1.459,1.5045
26,0,evening,thursday,9.1,64.0,0.7419,1313.0,1076.0,957.0,1285.0,1.2026,1.1722
27,0,night,thursday,8.2,63.4,0.6905,965.0,749.0,1325.0,821.0,0.7516,0.9154
28,0,night,thursday,8.2,60.8,0.6657,913.0,629.0,1565.0,552.0,0.4686,0.8597
29,0,night,friday,8.3,58.5,0.6438,1080.0,805.0,1254.0,816.0,0.8577,0.9442
30,0,night,friday,7.7,59.7,0.6308,1044.0,829.0,1247.0,832.0,0.9727,0.9463
31,0,night,friday,7.1,61.8,0.6276,988.0,718.0,1396.0,692.0,0.8047,0.8954
32,0,night,friday,6.1,65.9,0.6248,831.0,506.0,1893.0,384.0,0.283,0.7787
33,0,morning,friday,6.3,65.0,0.6233,847.0,501.0,1895.0,394.0,0.3891,0.7931
34,0,morning,friday,6.8,62.9,0.6234,927.0,571.0,1685.0,487.0,0.6278,0.8398
35,0,morning,friday,6.4,65.1,0.6316,1091.0,730.0,1387.0,748.0,0.9196,0.9346
36,0,morning,friday,7.3,63.1,0.6499,1587.0,1236.0,897.0,1400.0,1.2468,1.3047
37,0,morning,friday,13.2,41.7,0.632,1350.0,1118.0,912.0,1237.0,1.0788,1.1756
38,0,morning,friday,14.3,38.4,0.6243,1263.0,1037.0,969.0,1167.0,1.2645,1.0973
39,0,morning,friday,15.0,36.5,0.6195,1206.0,986.0,1035.0,959.0,0.9992,1.0554
40,0,afternoon,friday,16.1,34.5,0.6262,1252.0,1016.0,1008.0,983.0,1.0257,1.0939
41,0,afternoon,friday,16.3,35.7,0.656,1287.0,1078.0,949.0,1061.0,1.0876,1.1399
42,0,afternoon,friday,15.8,37.0,0.661,1353.0,1122.0,922.0,1139.0,1.1141,1.1948
43,0,afternoon,friday,15.9,37.2,0.6657,1309.0,1073.0,954.0,1112.0,1.0611,1.1378
44,0,afternoon,friday,16.9,34.3,0.6549,1274.0,1041.0,1006.0,994.0,1.0522,1.1056
45,0,evening,friday,15.1,39.6,0.6766,1510.0,1277.0,812.0,1410.0,1.3175,1.3116
46,0,evening,friday,14.4,43.4,0.7084,1525.0,1246.0,821.0,1448.0,1.2822,1.2683
47,0,evening,friday,12.9,50.5,0.7478,1843.0,1610.0,624.0,1887.0,1.5032,1.6412
48,0,evening,friday,12.1,53.3,0.7536,1598.0,1299.0,752.0,1627.0,1.3175,1.3329
49,0,night,friday,11.0,59.1,0.774,1484.0,1127.0,839.0,1491.0,1.2291,1.1832
50,0,night,friday,9.7,64.6,0.7771,1677.0,1346.0,741.0,1657.0,1.1849,1.416
51,0,night,saturday,9.5,64.1,0.7597,1280.0,964.0,963.0,1285.0,0.9992,1.0602
52,0,night,saturday,9.1,63.9,0.7423,1196.0,873.0,1071.0,1144.0,0.8577,1.0046
53,0,night,saturday,8.8,63.9,0.7256,1184.0,782.0,1176.0,1043.0,0.7251,0.9373
54,0,night,saturday,7.0,71.1,0.7158,1147.0,821.0,1132.0,992.0,0.7339,0.9696
55,0,morning,saturday,8.3,63.6,0.6982,978.0,625.0,1420.0,819.0,0.5748,0.8748
56,0,morning,saturday,7.2,67.5,0.6887,1100.0,646.0,1406.0,835.0,0.5305,0.8707
57,0,morning,saturday,6.3,71.9,0.6932,1112.0,770.0,1228.0,940.0,0.6809,0.9675
58,0,morning,saturday,6.5,71.6,0.6945,1336.0,1043.0,935.0,1192.0,0.8489,1.1523
59,0,morning,saturday,9.6,59.7,0.7124,1408.0,1153.0,830.0,1411.0,1.0522,1.2202
60,0,morning,saturday,12.4,51.2,0.7335,1447.0,1081.0,869.0,1465.0,1.1141,1.1447
61,0,morning,saturday,15.6,42.2,0.7451,1542.0,1184.0,808.0,1583.0,1.3971,1.2223
62,0,morning,saturday,18.4,33.8,0.709,1451.0,1117.0,875.0,1387.0,1.4236,1.1529
63,0,afternoon,saturday,19.4,31.3,0.695,1328.0,1059.0,987.0,1101.0,1.0965,1.0987
64,0,afternoon,saturday,18.0,34.8,0.7127,1207.0,924.0,1088.0,850.0,0.9019,1.0218
65,0,afternoon,saturday,18.4,33.6,0.7042,1240.0,947.0,1049.0,947.0,1.0257,1.052
66,0,afternoon,saturday,17.6,35.1,0.7012,1306.0,987.0,1004.0,1078.0,1.0965,1.0671
67,0,afternoon,saturday,16.7,37.8,0.7117,1326.0,1000.0,976.0,1084.0,1.1053,1.1001
68,0,evening,saturday,16.1,41.0,0.7451,1473.0,1163.0,831.0,1395.0,1.3087,1.2216
69,0,evening,saturday,15.8,42.4,0.7569,1609.0,1286.0,758.0,1612.0,1.459,1.3198
70,0,evening,saturday,15.7,44.1,0.7786,1611.0,1274.0,754.0,1697.0,1.4236,1.315
71,0,evening,saturday,15.3,46.8,0.8091,1621.0,1247.0,762.0,1886.0,1.4059,1.2772
72,0,night,saturday,14.6,48.6,0.806,1444.0,1089.0,844.0,1624.0,1.2645,1.2003
73,0,night,saturday,14.7,49.3,0.8193,1418.0,1010.0,892.0,1536.0,1.1495,1.1008
74,0,night,sunday,13.9,53.6,0.8498,1534.0,1013.0,889.0,1535.0,1.1407,1.1063
75,0,night,sunday,14.6,51.5,0.8536,1484.0,1045.0,880.0,1530.0,1.0522,1.1152
76,0,night,sunday,12.5,58.9,0.8537,1367.0,925.0,953.0,1337.0,0.9196,1.0596
77,0,night,sunday,12.1,61.1,0.8603,1130.0,773.0,1130.0,1051.0,0.7251,0.9971
78,0,morning,sunday,11.5,63.1,0.8533,1062.0,691.0,1272.0,929.0,0.619,0.9456
79,0,morning,sunday,11.6,62.2,0.8473,1076.0,618.0,1395.0,872.0,0.5571,0.9154
80,0,morning,sunday,10.4,67.6,0.853,1028.0,615.0,1384.0,853.0,0.5924,0.9202
81,0,morning,sunday,11.6,62.7,0.853,1155.0,722.0,1225.0,959.0,0.7428,0.971
82,0,morning,sunday,12.4,60.0,0.8627,1235.0,828.0,1055.0,1093.0,0.7339,1.0486
83,0,morning,sunday,14.5,53.1,0.8728,1332.0,923.0,952.0,1225.0,0.8666,1.1083
84,0,morning,sunday,16.9,46.1,0.8789,1445.0,1009.0,878.0,1355.0,1.008,1.1646
85,0,morning,sunday,19.3,38.3,0.8474,1416.0,1002.0,907.0,1262.0,1.0522,1.1516
86,0,afternoon,sunday,21.2,31.4,0.7812,1281.0,880.0,1084.0,980.0,0.9196,1.0472
87,0,afternoon,sunday,21.4,30.2,0.7616,1207.0,879.0,1104.0,872.0,0.9019,1.0232
88,0,afternoon,sunday,21.9,29.0,0.7525,1258.0,906.0,1081.0,900.0,0.9461,1.0376
89,0,afternoon,sunday,22.2,28.4,0.7516,1458.0,1045.0,974.0,1099.0,1.1407,1.1303
90,0,afternoon,sunday,21.3,30.8,0.7696,1438.0,1051.0,943.0,1206.0,1.1318,1.1454
91,0,evening,sunday,19.7,36.7,0.8307,1478.0,1055.0,929.0,1262.0,1.0699,1.1475
92,0,evening,sunday,18.4,41.7,0.8732,1808.0,1312.0,753.0,1698.0,1.3883,1.3686
93,0,evening,sunday,17.6,46.1,0.921,1898.0,1381.0,681.0,1905.0,1.5297,1.4441
94,0,evening,sunday,16.7,49.6,0.932,1560.0,1140.0,784.0,1648.0,1.291,1.2484
95,0,night,sunday,16.3,51.0,0.9341,1324.0,940.0,924.0,1423.0,1.0699,1.0898
96,0,night,sunday,14.7,55.9,0.9314,1349.0,933.0,933.0,1349.0,1.0522,1.1104
97,0,night,monday,14.8,54.7,0.9164,1239.0,872.0,985.0,1250.0,0.8754,1.0623
98,0,night,monday,14.0,57.0,0.9094,1239.0,853.0,1010.0,1174.0,0.8223,1.0596
99,0,night,monday,13.4,61.3,0.9361,1224.0,855.0,998.0,1149.0,0.7781,1.0754
100,0,night,monday,12.3,65.4,0.9351,1078.0,711.0,1150.0,1013.0,0.6278,1.0081
101,0,morning,monday,11.9,67.4,0.9375,1075.0,703.0,1156.0,1010.0,0.6543,1.0053
102,0,morning,monday,11.4,70.5,0.9475,1157.0,830.0,1030.0,1083.0,0.7074,1.0877
103,0,morning,monday,11.3,70.2,0.9401,1314.0,966.0,897.0,1235.0,0.787,1.1742
104,0,morning,monday,12.4,63.9,0.917,1797.0,1451.0,652.0,1680.0,1.008,1.5952
105,0,morning,monday,14.8,54.3,0.9076,1961.0,1701.0,537.0,2184.0,1.3175,1.83
106,0,morning,monday,17.4,45.6,0.8993,1771.0,1470.0,622.0,1973.0,1.3883,1.5533
107,0,morning,monday,19.8,38.5,0.8801,1564.0,1300.0,710.0,1798.0,1.3706,1.3933
108,0,morning,monday,22.0,34.1,0.8904,1430.0,1120.0,831.0,1522.0,1.1849,1.2244
109,0,afternoon,monday,23.3,32.2,0.9096,1417.0,1146.0,830.0,1404.0,1.0522,1.2573
110,0,afternoon,monday,23.9,30.0,0.8757,1400.0,1162.0,838.0,1263.0,0.9815,1.256
111,0,afternoon,monday,24.4,28.9,0.8736,1317.0,1053.0,926.0,1137.0,0.9196,1.1722
112,0,afternoon,monday,24.4,29.4,0.8848,1318.0,1033.0,950.0,1068.0,0.8754,1.1502
113,0,afternoon,monday,23.8,31.3,0.9137,1445.0,1141.0,857.0,1252.0,0.9727,1.2525
114,0,evening,monday,22.5,35.4,0.9547,1917.0,1601.0,631.0,1843.0,1.4325,1.6803
115,0,evening,monday,20.4,42.5,1.0086,2040.0,1754.0,542.0,2122.0,1.6535,1.8396
116,0,evening,monday,18.3,52.6,1.0945,1895.0,1573.0,565.0,1992.0,1.459,1.6776
117,0,evening,monday,16.7,57.4,1.0786,1595.0,1294.0,678.0,1707.0,1.2822,1.4132
118,0,night,monday,15.7,60.2,1.0654,1439.0,1159.0,764.0,1494.0,1.1053,1.2745
119,0,night,monday,15.3,61.4,1.058,1142.0,852.0,1008.0,1164.0,0.8931,1.0623
120,0,night,tuesday,14.1,65.7,1.0494,1304.0,1019.0,852.0,1272.0,0.9108,1.1887
121,0,night,tuesday,14.8,60.6,1.0148,1074.0,784.0,1098.0,1040.0,0.7781,1.0184
122,0,night,tuesday,14.8,59.2,0.9879,968.0,640.0,1320.0,867.0,0.5394,0.9518
123,0,night,tuesday,12.3,66.2,0.945,941.0,626.0,1316.0,840.0,0.5217,0.9428
124,0,morning,tuesday,12.8,63.2,0.9283,937.0,585.0,1412.0,793.0,0.4598,0.9257
125,0,morning,tuesday,11.2,68.5,0.9081,1017.0,681.0,1246.0,870.0,0.5659,0.9737
126,0,morning,tuesday,11.0,66.5,0.8705,1171.0,770.0,1162.0,930.0,0.619,1.0074
127,0,morning,tuesday,11.7,63.7,0.8719,1541.0,1185.0,770.0,1407.0,0.8577,1.2972
128,0,morning,tuesday,13.6,56.3,0.8743,1539.0,1287.0,698.0,1507.0,0.84,1.4111
129,0,morning,tuesday,17.8,42.9,0.8672,1735.0,1431.0,628.0,1843.0,1.3264,1.5183
130,0,morning,tuesday,21.4,33.3,0.8417,1571.0,1297.0,730.0,1729.0,1.4325,1.3548
131,0,morning,tuesday,24.4,27.4,0.8231,1452.0,1250.0,776.0,1583.0,1.3617,1.2827
132,0,afternoon,tuesday,25.3,26.1,0.8264,1579.0,1359.0,724.0,1671.0,1.4236,1.372
133,0,afternoon,tuesday,25.8,23.2,0.7589,1466.0,1309.0,773.0,1491.0,1.4236,1.3026
134,0,afternoon,tuesday,27.0,20.2,0.7094,1280.0,1136.0,893.0,1240.0,1.1318,1.1502
135,0,afternoon,tuesday,28.2,18.6,0.7014,1407.0,1197.0,905.0,1313.0,1.1407,1.2079
136,0,afternoon,tuesday,28.0,19.1,0.7098,1389.0,1173.0,898.0,1363.0,1.176,1.1942
137,0,evening,tuesday,23.9,25.7,0.7519,1447.0,1235.0,859.0,1296.0,1.2291,1.2209
138,0,evening,tuesday,21.3,34.8,0.873,1551.0,1271.0,800.0,1432.0,1.2114,1.2875
139,0,evening,tuesday,20.4,36.7,0.8704,1474.0,1173.0,854.0,1432.0,1.2645,1.2196
140,0,evening,tuesday,19.0,41.3,0.9007,1800.0,1426.0,700.0,2034.0,1.5651,1.4462
141,0,night,tuesday,17.9,45.9,0.9342,1379.0,1101.0,818.0,1602.0,1.2203,1.1742
142,0,night,tuesday,16.7,48.9,0.9226,1201.0,943.0,935.0,1362.0,1.0346,1.0712
143,0,night,wednesday,15.5,52.9,0.9271,1205.0,925.0,922.0,1314.0,0.9461,1.0623
144,0,night,wednesday,15.5,51.9,0.9059,1072.0,784.0,1066.0,1114.0,0.7958,0.9902
145,0,night,wednesday,14.1,55.6,0.891,998.0,714.0,1169.0,992.0,0.6986,0.9497
146,0,night,wednesday,12.7,57.9,0.8447,883.0,577.0,1396.0,808.0,0.5305,0.8948
147,0,morning,wednesday,11.8,58.0,0.8026,869.0,554.0,1460.0,667.0,0.3537,0.8707
148,0,morning,wednesday,11.9,57.4,0.7978,891.0,576.0,1417.0,733.0,0.4686,0.8851
149,0,morning,wednesday,9.9,65.2,0.7956,1173.0,878.0,1038.0,1052.0,0.7428,1.0685
150,0,morning,wednesday,11.1,60.2,0.7958,1587.0,1334.0,702.0,1534.0,0.955,1.3727
151,0,morning,wednesday,14.1,50.0,0.802,1852.0,1696.0,553.0,1931.0,1.123,1.7408
152,0,morning,wednesday,17.7,40.1,0.8048,1522.0,1331.0,703.0,1734.0,1.1849,1.3912
153,0,morning,wednesday,21.1,33.4,0.8265,1438.0,1161.0,819.0,1595.0,1.1937,1.2237
154,0,morning,wednesday,24.3,28.3,0.8471,1393.0,1067.0,905.0,1490.0,1.2556,1.1358
155,0,afternoon,wednesday,25.6,25.6,0.8254,1452.0,1152.0,861.0,1508.0,1.3529,1.1996
156,0,afternoon,wednesday,25.9,25.9,0.8503,1389.0,1108.0,887.0,1334.0,1.0876,1.1756
157,0,afternoon,wednesday,26.8,18.7,0.65,1207.0,994.0,1013.0,1045.0,0.9196,1.0438
158,0,afternoon,wednesday,29.3,15.8,0.6309,1365.0,1154.0,940.0,1221.0,1.1407,1.1529
159,0,afternoon,wednesday,28.5,14.9,0.5708,1247.0,1060.0,1032.0,1069.0,1.008,1.0472
160,0,evening,wednesday,25.9,16.0,0.5237,1557.0,1478.0,793.0,1569.0,1.3971,1.3603
161,0,evening,wednesday,23.1,26.5,0.7403,1973.0,1737.0,617.0,2306.0,1.7154,1.6577
162,0,evening,wednesday,20.5,38.2,0.9133,1975.0,1667.0,597.0,2359.0,1.6093,1.659
163,0,evening,wednesday,19.1,42.6,0.9294,1795.0,1485.0,653.0,2050.0,1.5916,1.4929
164,0,night,wednesday,17.2,44.1,0.8558,1444.0,1150.0,770.0,1727.0,1.2026,1.1859
165,0,night,wednesday,16.0,50.9,0.9206,1488.0,1171.0,731.0,1705.0,1.123,1.2209
166,0,night,thursday,14.8,53.9,0.9024,1371.0,1083.0,796.0,1551.0,1.0257,1.1461
167,0,night,thursday,14.3,55.4,0.8975,1161.0,904.0,947.0,1240.0,0.9461,1.0314
168,0,night,thursday,14.8,52.1,0.8686,1064.0,787.0,1057.0,1115.0,0.7781,0.9662
169,0,night,thursday,11.6,61.9,0.8442,954.0,645.0,1260.0,925.0,0.6897,0.916
170,0,morning,thursday,12.0,58.9,0.8233,931.0,623.0,1293.0,828.0,0.504,0.8975
171,0,morning,thursday,10.9,62.1,0.8113,938.0,650.0,1251.0,893.0,0.6278,0.9154
172,0,morning,thursday,10.6,63.3,0.8067,1166.0,885.0,1005.0,1075.0,0.7516,1.0651
173,0,morning,thursday,11.5,60.0,0.8117,1643.0,1384.0,667.0,1610.0,1.0965,1.4379
174,0,morning,thursday,14.3,50.6,0.8186,1934.0,1682.0,541.0,2051.0,1.3352,1.6947
175,0,morning,thursday,17.8,40.5,0.821,1617.0,1333.0,686.0,1819.0,1.3264,1.3802
176,0,morning,thursday,20.8,34.4,0.8365,1473.0,1127.0,831.0,1568.0,1.344,1.2031
177,0,morning,thursday,23.8,28.2,0.8219,1379.0,1068.0,899.0,1374.0,1.2291,1.142
178,0,afternoon,thursday,24.2,28.7,0.8515,1385.0,1056.0,891.0,1268.0,1.176,1.1317
179,0,afternoon,thursday,25.2,24.9,0.7829,1379.0,1087.0,901.0,1144.0,1.1141,1.1399
180,0,afternoon,thursday,27.0,17.8,0.6275,1322.0,1129.0,934.0,1109.0,1.1318,1.1255
181,0,afternoon,thursday,27.1,23.1,0.818,1496.0,1205.0,822.0,1347.0,1.4944,1.2134
182,0,afternoon,thursday,25.8,23.9,0.7832,1409.0,1131.0,873.0,1206.0,1.3175,1.1598
183,0,evening,thursday,23.0,26.8,0.7446,1513.0,1338.0,764.0,1397.0,1.3794,1.3438
184,0,evening,thursday,20.7,31.1,0.7523,1667.0,1464.0,683.0,1588.0,1.4855,1.4544
185,0,evening,thursday,18.6,36.2,0.7676,1667.0,1453.0,684.0,1569.0,1.5563,1.4084
186,0,evening,thursday,16.0,48.4,0.8768,1430.0,1121.0,814.0,1322.0,1.1937,1.1893
187,0,night,thursday,14.5,57.8,0.9456,1333.0,989.0,885.0,1194.0,1.0699,1.1131
188,0,night,thursday,13.1,64.2,0.9606,1262.0,911.0,948.0,1062.0,0.8754,1.0609
189,0,night,friday,12.0,69.7,0.9735,1287.0,936.0,918.0,1040.0,0.9373,1.1028
190,0,night,friday,11.9,71.1,0.9915,1134.0,840.0,1021.0,917.0,0.8489,1.0307
191,0,night,friday,12.5,69.3,1.0029,999.0,688.0,1229.0,594.0,0.5571,0.9476
192,0,night,friday,12.3,67.7,0.9665,934.0,569.0,1440.0,397.0,0.283,0.879
193,0,morning,friday,12.5,66.8,0.962,913.0,525.0,1620.0,370.0,0.2476,0.8652
194,0,morning,friday,12.3,66.3,0.9487,969.0,607.0,1373.0,438.0,0.5394,0.9092
195,0,morning,friday,12.4,64.9,0.9332,1182.0,845.0,1054.0,704.0,0.8754,1.0568
196,0,morning,friday,13.0,61.6,0.9209,1740.0,1372.0,671.0,1476.0,1.3883,1.4723
197,0,morning,friday,13.6,58.8,0.912,1819.0,1582.0,575.0,1716.0,1.4678,1.6865
198,0,morning,friday,13.9,57.1,0.9032,1427.0,1275.0,701.0,1398.0,1.3175,1.3596
199,0,morning,friday,14.5,54.4,0.8917,1390.0,1191.0,759.0,1268.0,1.1937,1.2903
200,0,morning,friday,15.5,50.1,0.8744,1283.0,1117.0,813.0,1188.0,1.123,1.2024
201,0,afternoon,friday,16.1,47.6,0.8655,1304.0,1157.0,793.0,1171.0,1.0788,1.2367
202,0,afternoon,friday,16.3,47.1,0.864,1364.0,1202.0,771.0,1250.0,1.1937,1.2875
203,0,afternoon,friday,16.4,47.5,0.8791,1410.0,1268.0,724.0,1344.0,1.2291,1.3438
204,0,afternoon,friday,16.1,50.2,0.9094,1476.0,1280.0,708.0,1378.0,1.2998,1.3425
205,0,afternoon,friday,16.0,50.7,0.9142,1522.0,1320.0,690.0,1435.0,1.3971,1.3768
206,0,evening,friday,15.8,50.3,0.8989,1442.0,1301.0,704.0,1372.0,1.291,1.3404
207,0,evening,friday,15.5,50.6,0.884,1469.0,1344.0,677.0,1471.0,1.2733,1.3713
208,0,evening,friday,15.4,51.4,0.8956,1467.0,1292.0,698.0,1439.0,1.2203,1.3335
209,0,evening,friday,15.2,53.1,0.9117,1421.0,1202.0,748.0,1429.0,1.2645,1.2731
210,0,night,friday,14.7,57.6,0.9573,1175.0,945.0,904.0,1081.0,1.0257,1.1014
211,0,night,friday,14.2,58.3,0.938,1215.0,912.0,948.0,993.0,0.9638,1.0623
212,0,night,saturday,13.8,57.9,0.9085,1127.0,802.0,1064.0,837.0,0.8135,0.9936
213,0,night,saturday,13.9,55.9,0.8842,1090.0,773.0,1105.0,761.0,0.7339,0.9813
214,0,night,saturday,13.9,55.6,0.8765,1017.0,718.0,1182.0,650.0,0.7162,0.949
215,0,night,saturday,13.8,54.6,0.8574,945.0,646.0,1308.0,505.0,0.4863,0.9147
216,0,morning,saturday,13.6,55.1,0.856,956.0,661.0,1260.0,518.0,0.4686,0.9277
217,0,morning,saturday,13.6,59.0,0.9129,966.0,622.0,1317.0,571.0,0.5924,0.9215
218,0,morning,saturday,13.5,58.4,0.896,1064.0,728.0,1161.0,842.0,0.8047,1.0033
219,0,morning,saturday,13.8,58.0,0.9083,1300.0,935.0,902.0,1145.0,0.9992,1.1145
220,0,morning,saturday,14.6,53.1,0.8765,1348.0,998.0,834.0,1218.0,0.9019,1.1598
221,0,morning,saturday,15.0,52.3,0.8881,1425.0,1068.0,776.0,1341.0,0.9461,1.2113
222,0,morning,saturday,15.4,52.1,0.9046,1474.0,1061.0,768.0,1406.0,0.9992,1.2141
223,0,morning,saturday,16.3,50.0,0.9158,1490.0,1039.0,782.0,1422.0,0.955,1.2065
224,0,afternoon,saturday,17.1,47.9,0.9281,1495.0,1040.0,809.0,1373.0,0.9285,1.1914
225,0,afternoon,saturday,19.0,42.9,0.937,1376.0,953.0,900.0,1153.0,0.8223,1.1234
226,0,afternoon,saturday,19.5,42.3,0.9476,1305.0,884.0,980.0,927.0,0.7693,1.0802
227,0,afternoon,saturday,19.5,42.3,0.9493,1283.0,844.0,1036.0,766.0,0.672,1.0568
228,0,afternoon,saturday,19.1,43.8,0.9556,1392.0,967.0,930.0,941.0,0.8312,1.1323
229,0,evening,saturday,18.5,46.3,0.9744,1452.0,1063.0,856.0,1146.0,0.9727,1.2182
230,0,evening,saturday,17.4,51.6,1.0159,1633.0,1199.0,734.0,1417.0,1.2026,1.3178
231,0,evening,saturday,17.1,51.3,0.9914,1625.0,1191.0,733.0,1442.0,1.2291,1.2944
232,0,evening,saturday,16.4,53.8,0.9964,1535.0,1108.0,785.0,1323.0,1.1053,1.2498
233,0,night,saturday,16.2,55.4,1.0132,1323.0,973.0,864.0,1125.0,0.9815,1.1756
234,0,night,saturday,15.9,57.7,1.0356,1309.0,937.0,905.0,1036.0,0.8577,1.1481
235,0,night,sunday,15.7,58.6,1.0396,1456.0,999.0,835.0,1202.0,0.9461,1.177
236,0,night,sunday,15.1,60.9,1.0398,1300.0,872.0,941.0,1054.0,0.7958,1.0829
237,0,night,sunday,15.6,56.6,0.9951,1203.0,823.0,1004.0,903.0,0.7428,1.0479
238,0,night,sunday,15.4,57.8,1.0021,1117.0,802.0,1029.0,818.0,0.7693,1.0568
239,0,morning,sunday,14.9,60.6,1.0196,1062.0,711.0,1136.0,700.0,0.5836,1.0033
240,0,morning,sunday,14.5,63.0,1.0316,947.0,594.0,1300.0,580.0,0.3183,0.9545
241,0,morning,sunday,14.2,66.2,1.063,1065.0,687.0,1143.0,815.0,0.5482,1.0245
242,0,morning,sunday,14.5,65.3,1.0704,1155.0,734.0,1062.0,1035.0,0.8047,1.0493
243,0,morning,sunday,15.3,62.1,1.073,1220.0,782.0,996.0,1067.0,0.787,1.0712
244,0,morning,sunday,16.3,59.0,1.0868,1301.0,862.0,914.0,1114.0,0.8223,1.1214
245,0,morning,sunday,18.9,49.6,1.07,1279.0,870.0,911.0,1000.0,0.7162,1.1303
246,0,morning,sunday,19.4,46.1,1.0249,1267.0,883.0,953.0,906.0,0.7251,1.1104
247,0,afternoon,sunday,20.8,41.6,1.0091,1239.0,848.0,981.0,822.0,0.7074,1.0767
248,0,afternoon,sunday,21.4,40.3,1.0126,1128.0,742.0,1144.0,610.0,0.4244,1.0348
249,0,afternoon,sunday,21.2,39.3,0.9791,1243.0,916.0,962.0,657.0,0.5394,1.1461
250,0,afternoon,sunday,20.3,38.0,0.8942,1208.0,853.0,1060.0,647.0,0.787,1.0342
251,0,afternoon,sunday,19.4,41.3,0.9206,1306.0,938.0,961.0,762.0,0.9285,1.1035
252,0,evening,sunday,18.5,43.8,0.9252,1546.0,1151.0,769.0,1122.0,1.0257,1.2869
253,0,evening,sunday,17.8,48.1,0.9689,1501.0,1071.0,823.0,1130.0,1.0522,1.1976
254,0,evening,sunday,17.9,46.9,0.952,1605.0,1153.0,769.0,1637.0,1.2733,1.2635
255,0,evening,sunday,17.4,49.1,0.9688,1316.0,974.0,883.0,1272.0,1.0876,1.1488
256,0,night,sunday,17.0,51.7,0.9914,1195.0,898.0,933.0,1098.0,0.9285,1.0946
257,0,night,sunday,16.4,55.1,1.0198,1211.0,896.0,920.0,1066.0,0.8223,1.1152
258,0,night,monday,16.1,60.0,1.0919,1161.0,815.0,995.0,909.0,0.7604,1.0863
259,0,night,monday,15.8,60.5,1.0805,1095.0,767.0,1050.0,818.0,0.672,1.0623
260,0,night,monday,16.3,57.0,1.0491,897.0,563.0,1417.0,472.0,0.2918,0.9305
261,0,night,monday,16.1,55.9,1.0153,854.0,481.0,1756.0,396.0,0.2387,0.8954
262,0,morning,monday,16.5,53.9,1.0049,845.0,472.0,1786.0,378.0,0.2034,0.8776
263,0,morning,monday,16.4,54.0,0.9979,942.0,586.0,1480.0,432.0,0.4068,0.9428
264,0,morning,monday,15.7,57.6,1.0195,1090.0,768.0,1072.0,699.0,0.672,1.0561
